Date,Temperature
2023-06-19,20
2023-06-20,21
2023-06-21,22
2023-06-22,26
2023-06-23,23
2023-06-24,28
2023-06-25,29
2023-06-26,28
2023-06-27,24
2023-06-28,23
2023-06-29,22
2023-06-30,21
2023-07-01,26
2023-07-02,28
2023-07-03,29
2023-07-04,28
2023-07-05,29
2023-07-06,28
2023-07-07,24
2023-07-08,23
2023-07-09,22
2023-07-10,26
2023-07-11,23
2023-07-12,28
2023-07-13,29
2023-07-14,28
2023-07-15,24
2023-07-16,23
2023-07-17,22
2023-07-18,21
2023-07-19,26
2023-07-20,28
2023-07-21,29
2023-07-22,28
2023-07-23,29
2023-07-24,28
2023-07-25,24
2023-07-26,23
2023-07-27,22
2023-07-28,26
2023-07-29,23
2023-07-30,28
2023-07-31,29
2023-08-01,28
2023-08-02,24
2023-08-03,23
2023-08-04,22
2023-08-05,21
2023-08-06,26
2023-08-07,28
2023-08-08,29
2023-08-09,28
2023-08-10,29
2023-08-11,28
2023-08-12,24
2023-08-13,23
2023-08-14,22
2023-08-15,26
2023-08-16,23
2023-08-17,28
2023-08-18,29
2023-08-19,28
2023-08-20,24
2023-08-21,23
2023-08-22,22
2023-08-23,21
2023-08-24,26
2023-08-25,28
2023-08-26,29
2023-08-27,28
2023-08-28,29
2023-08-29,28
2023-08-30,24
2023-08-31,23
2023-09-01,22
2023-09-02,26
2023-09-03,23
2023-09-04,28
2023-09-05,29
2023-09-06,28
2023-09-07,24
2023-09-08,23
2023-09-09,22
2023-09-10,21
2023-09-11,26
2023-09-12,28
2023-09-13,29
2023-09-14,28
2023-09-15,24
2023-09-16,23
2023-09-17,22
2023-09-18,21
2023-09-19,26
2023-09-20,28
2023-09-21,29
2023-09-22,28
2023-09-23,29
2023-09-24,28
2023-09-25,24
