Date,Temperature
2023-06-19,17
2023-06-20,19
2023-06-21,15
2023-06-22,16
2023-06-23,18
2023-06-24,14
2023-06-25,20
2023-06-26,17
2023-06-27,15
2023-06-28,19
2023-06-29,16
2023-06-30,18
2023-07-01,21
2023-07-02,14
2023-07-03,15
2023-07-04,20
2023-07-05,16
2023-07-06,17
2023-07-07,19
2023-07-08,14
2023-07-09,21
2023-07-10,16
2023-07-11,18
2023-07-12,15
2023-07-13,19
2023-07-14,17
2023-07-15,20
2023-07-16,14
2023-07-17,17
2023-07-18,16
2023-07-19,18
2023-07-20,21
2023-07-21,15
2023-07-22,19
2023-07-23,17
2023-07-24,14
2023-07-25,18
2023-07-26,20
2023-07-27,15
2023-07-28,17
2023-07-29,19
2023-07-30,14
2023-07-31,16
2023-08-01,21
2023-08-02,15
2023-08-03,18
2023-08-04,17
2023-08-05,19
2023-08-06,14
2023-08-07,20
2023-08-08,16
2023-08-09,15
2023-08-10,19
2023-08-11,18
2023-08-12,17
2023-08-13,21
2023-08-14,14
2023-08-15,16
2023-08-16,20
2023-08-17,17
2023-08-18,15
2023-08-19,19
2023-08-20,18
2023-08-21,14
2023-08-22,21
2023-08-23,17
2023-08-24,16
2023-08-25,18
2023-08-26,15
2023-08-27,19
2023-08-28,20
2023-08-29,14
2023-08-30,17
2023-08-31,19
2023-09-01,16
2023-09-02,15
2023-09-03,20
2023-09-04,17
2023-09-05,14
2023-09-06,18
2023-09-07,19
2023-09-08,16
2023-09-09,15
2023-09-10,21
2023-09-11,17
2023-09-12,14
2023-09-13,19
2023-09-14,16
2023-09-15,15
2023-09-16,18
2023-09-17,20
2023-09-18,14
2023-09-19,17
2023-09-20,19
