Date,Temperature
2023-06-19,21
2023-06-20,19
2023-06-21,22
2023-06-22,20
2023-06-23,18
2023-06-24,23
2023-06-25,21
2023-06-26,20
2023-06-27,19
2023-06-28,22
2023-06-29,24
2023-06-30,23
2023-07-01,25
2023-07-02,24
2023-07-03,23
2023-07-04,21
2023-07-05,19
2023-07-06,20
2023-07-07,18
2023-07-08,17
2023-07-09,18
2023-07-10,21
2023-07-11,22
2023-07-12,20
2023-07-13,21
2023-07-14,23
2023-07-15,25
2023-07-16,24
2023-07-17,23
2023-07-18,22
2023-07-19,20
2023-07-20,18
2023-07-21,19
2023-07-22,21
2023-07-23,22
2023-07-24,23
2023-07-25,22
2023-07-26,20
2023-07-27,18
2023-07-28,17
2023-07-29,18
2023-07-30,21
2023-07-31,22
2023-08-01,20
2023-08-02,21
2023-08-03,23
2023-08-04,25
2023-08-05,24
2023-08-06,23
2023-08-07,22
2023-08-08,20
2023-08-09,18
2023-08-10,19
2023-08-11,21
2023-08-12,22
2023-08-13,23
2023-08-14,22
2023-08-15,20
2023-08-16,18
2023-08-17,17
2023-08-18,18
2023-08-19,21
2023-08-20,22
2023-08-21,20
2023-08-22,21
2023-08-23,23
2023-08-24,25
2023-08-25,24
2023-08-26,23
2023-08-27,22
2023-08-28,20
2023-08-29,18
2023-08-30,17
2023-08-31,18
2023-09-01,21
2023-09-02,22
2023-09-03,20
2023-09-04,21
2023-09-05,23
2023-09-06,25
2023-09-07,24
2023-09-08,23
2023-09-09,22
2023-09-10,20
2023-09-11,18
2023-09-12,19
2023-09-13,21
2023-09-14,22
2023-09-15,23
2023-09-16,22
2023-09-17,20
2023-09-18,18
2023-09-19,17
2023-09-20,18
2023-09-21,20
2023-09-22,22
2023-09-23,23
2023-09-24,21
2023-09-25,19
